Type,Gender,Discipline,Classification,Threshold
field,f,hammer_throw_4,SMK,47
field,f,hammer_throw_4,I,40
field,f,hammer_throw_4,II,35
field,f,hammer_throw_4,III,29
field,f,hammer_throw_4,"I j.",25
field,f,hammer_throw_4,"II j.",20
field,f,hammer_throw_3,SM,62
field,f,hammer_throw_3,SMK,53
field,f,hammer_throw_3,I,47
field,f,hammer_throw_3,II,39
field,f,hammer_throw_3,III,34
field,f,hammer_throw_3,"I j.",29
field,f,hammer_throw_3,"II j.",25
field,f,hammer_throw_3,"III j.",20
field,f,hammer_throw_2,I,52
field,f,hammer_throw_2,II,44
field,f,hammer_throw_2,III,39
field,f,hammer_throw_2,"I j.",34
field,f,hammer_throw_2,"II j.",29
field,f,hammer_throw_2,"III j.",25
field,f,javelin_throw_600,LM,60
field,f,javelin_throw_600,SM,54
field,f,javelin_throw_600,SMK,48
field,f,javelin_throw_600,I,43
field,f,javelin_throw_600,II,35
field,f,javelin_throw_600,III,30
field,f,javelin_throw_600,"I j.",25
field,f,javelin_throw_500,SM,50
field,f,javelin_throw_500,SMK,44
field,f,javelin_throw_500,I,38
field,f,javelin_throw_500,II,27
field,f,javelin_throw_500,III,22
field,f,javelin_throw_500,"I j.",18
field,f,javelin_throw_400,I,45
field,f,javelin_throw_400,II,38
field,f,javelin_throw_400,III,35
field,f,javelin_throw_400,"I j.",30
field,f,javelin_throw_400,"II j.",25
field,f,javelin_throw_400,"III j.",20
field,f,shot_put_4,LM,17.5
field,f,shot_put_4,SM,15
field,f,shot_put_4,SMK,14
field,f,shot_put_4,I,12.5
field,f,shot_put_4,II,10.5
field,f,shot_put_4,III,8.5
field,f,shot_put_4,"I j.",7.2
field,f,shot_put_4,"II j.",6.5
field,f,shot_put_3,SMK,15.2
field,f,shot_put_3,I,14
field,f,shot_put_3,II,12
field,f,shot_put_3,III,9.7
field,f,shot_put_3,"I j.",8
field,f,shot_put_3,"II j.",7
field,f,shot_put_3,"III j.",6
field,f,shot_put_2,II,12.5
field,f,shot_put_2,III,11
field,f,shot_put_2,"I j.",9.5
field,f,shot_put_2,"II j.",8
field,f,shot_put_2,"III j.",7
field,f,heptathlon,LM,5850
field,f,heptathlon,SM,5250
field,f,heptathlon,SMK,4600
field,f,heptathlon,I,4000
field,f,heptathlon,II,3200
field,f,heptathlon,III,2400
field,f,heptathlon,"I j.",2000
field,f,heptathlon,"II j.",1600
field,f,heptathlon_u18,SMK,4700
field,f,heptathlon_u18,I,4250
field,f,heptathlon_u18,II,3400
field,f,heptathlon_u18,III,2700
field,f,heptathlon_u18,"I j.",2200
field,f,heptathlon_u18,"II j.",1800
field,f,heptathlon_u18,"III j.",1600
field,f,heptathlon_u16,I,4000
field,f,heptathlon_u16,II,3300
field,f,heptathlon_u16,III,2600
field,f,heptathlon_u16,"I j.",2200
field,f,heptathlon_u16,"II j.",2000
field,f,heptathlon_u16,"III j.",1800
field,f,pentathlon,LM,4500
field,f,pentathlon,SM,3850
field,f,pentathlon,SMK,3400
field,f,pentathlon,I,3000
field,f,pentathlon,II,2400
field,f,pentathlon,III,2000
field,f,pentathlon,"I j.",1600
field,f,pentathlon,"II j.",1300
field,f,pentathlon,"III j.",1000
field,f,pentathlon_u20,SMK,3500
field,f,pentathlon_u20,I,3200
field,f,pentathlon_u20,II,2800
field,f,pentathlon_u20,III,2600
field,f,pentathlon_u20,"I j.",2000
field,f,pentathlon_u20,"II j.",1800
field,f,pentathlon_u20,"III j.",1600
field,f,pentathlon_u18,SMK,3500
field,f,pentathlon_u18,I,3200
field,f,pentathlon_u18,II,2800
field,f,pentathlon_u18,III,2600
field,f,pentathlon_u18,"I j.",2000
field,f,pentathlon_u18,"II j.",1800
field,f,pentathlon_u18,"III j.",1600
field,f,pentathlon_u16,I,2900
field,f,pentathlon_u16,II,2400
field,f,pentathlon_u16,III,1900
field,f,pentathlon_u16,"I j.",1700
field,f,pentathlon_u16,"II j.",1400
field,f,pentathlon_u16,"III j.",1200
outdoor,m,30m,III,4.54
outdoor,m,30m,"I j.",4.5
outdoor,m,30m,"II j.",4.7
outdoor,m,30m,"III j.",5
outdoor,m,60m,LM,6.7
outdoor,m,60m,SM,6.84
outdoor,m,60m,SMK,7.04
outdoor,m,60m,I,7.24
outdoor,m,60m,II,7.44
outdoor,m,60m,III,7.84
outdoor,m,60m,"I j.",7.9
outdoor,m,60m,"II j.",8.5
outdoor,m,60m,"III j.",8.9
outdoor,m,100m,LM,10.34
outdoor,m,100m,SM,10.64
outdoor,m,100m,SMK,10.94
outdoor,m,100m,I,11.34
outdoor,m,100m,II,11.94
outdoor,m,100m,III,12.64
outdoor,m,100m,"I j.",13
outdoor,m,100m,"II j.",13.6
outdoor,m,100m,"III j.",14.2
outdoor,m,200m,LM,20.74
outdoor,m,200m,SM,21.34
outdoor,m,200m,SMK,22.04
outdoor,m,200m,I,23.14
outdoor,m,200m,II,24.24
outdoor,m,200m,III,25.94
outdoor,m,200m,"I j.",28
outdoor,m,200m,"II j.",29.2
outdoor,m,200m,"III j.",30.5
outdoor,m,300m,SMK,34.04
outdoor,m,300m,I,35.54
outdoor,m,300m,II,37.54
outdoor,m,300m,III,40.24
outdoor,m,300m,"I j.",43.4
outdoor,m,300m,"II j.",46.2
outdoor,m,300m,"III j.",49
outdoor,m,400m,LM,45.9
outdoor,m,400m,SM,47.5
outdoor,m,400m,SMK,49.34
outdoor,m,400m,I,50.94
outdoor,m,400m,II,53.94
outdoor,m,400m,III,57.94
outdoor,m,400m,"I j.",60.2
outdoor,m,400m,"II j.",64
outdoor,m,400m,"III j.",66
outdoor,m,600m,SMK,79
outdoor,m,600m,I,82.5
outdoor,m,600m,II,88
outdoor,m,600m,III,96
outdoor,m,600m,"I j.",102
outdoor,m,600m,"II j.",110
